Character Name,Character ID
Adrian Toomes / Vulture,Vulture
Agent Brock Rumlow,Rumlow
Agent Clint Barton / Hawkeye,Hawkeye
Agent Maria Hill,Maria Hill
Agent Natasha Romanoff / Black Widow,Black Widow
Agent Nick Fury,Nick Fury
Agent Peggy Carter,Peggy Carter
Captain Peggy Carter,Peggy Carter
Agent Phil Coulson,Phil Coulson
Agent Sharon Carter,Sharon Carter
Alexander Pierce,Alexander Pierce
Brock Rumlow,Rumlow
Brock Rumlow / Crossbones,Rumlow
Carol Danvers / Captain Marvel,Captain Marvel
Carol Danvers / Vers / Captain Marvel,Captain Marvel
Cassie Lang,Cassie
Clint Barton / Hawkeye,Hawkeye
Clint Barton / Ronin,Hawkeye
"Col. James ""Rhodey"" Rhodes / Iron Patriot",James Rhodes / War Machine
"Col. James ""Rhodey"" Rhodes / War Machine",James Rhodes / War Machine
Director Nick Fury,Nick Fury
Dr. Arnim Zola,Arnim Zola
Dr. Bruce Banner,Bruce Banner
Dr. Bruce Banner / The Hulk,Hulk
Dr. Bruce Banner / Hulk',Hulk
Dr. Erik Selvig,Erik Selvig
Dr. Hank Pym,Hank Pym
Dr. Jane Foster,Jane Foster
Dr. Maya Hansen,Maya Hansen
Dr. Stephen Strange,Doctor Strange
Dr. Stephen Strange / Doctor Strange,Doctor Strange
Drax,Drax
Ego,Ego
Everett Ross,Everett Ross
Agent Everett Ross,Everett Ross
Frigga,Frigga
Gamora,Gamora
Groot,Groot
Groot II,Groot
Happy Hogan,Happy
"Harold ""Happy"" Hogan",Happy
Heimdall,Heimdall
Hela,Hela
Helmut Zemo,Zemo
Baron Helmut Zemo, Zemo
Hope van Dyne,Hope van Dyne
Hope van Dyne / The Wasp,Hope van Dyne
Howard Stark,Howard Stark
Ivan Vanko / Whiplash,Ivan Vanko
"James ""Bucky"" Barnes / White Wolf",Bucky
"James ""Bucky"" Barnes / Winter Soldier",Bucky
"James ""Rhodey"" Rhodes / War Machine",James Rhodes / War Machine
Jennifer Walters / She-Hulk,She-Hulk
Johann Schmidt / Red Skull,Red Skull
Baron Karl Mordo,Mordo
Karl Mordo,Mordo
Kamala Khan / Ms. Marvel,Ms. Marvel
King T'Chaka,T'Chaka
King T'Challa / Black Panther,Black Panther
King K'uk'ulkan / Namor,Namor
Korg,Korg
Loki,Loki
Loki (protagonist),Loki
"Lt. Col. James ""Rhodey"" Rhodes",James Rhodes / War Machine
"Lt. Col. James ""Rhodey"" Rhodes / War Machine",James Rhodes / War Machine
M'Baku,M'Baku
Marc Spector / Steven Grant / Jake Lockley / Moon Knight,Moon Knight
Maria Rambeau / Captain Marvel,Maria Rambeau
Matt Murdock,Daredevil
Matt Murdock / Daredevil,Daredevil
Mantis,Mantis
Maria Hill,Maria Hill
Soren / "Maria Hill",Maria Hill
May Parker,Aunt May
Michelle "MJ" Jones Watson,MJ
Michelle Jones,MJ
Miek,Miek
"N'Jadaka / Erik ""Killmonger"" Stevens",Killmonger
Nakia,Nakia
Natasha Romanoff / Black Widow,Black Widow
Nebula,Nebula
Nick Fury,Nick Fury
Obadiah Stane,Obadiah Stane
Obadiah Stane / Iron Monger,Obadiah Stane
Odin,Odin
Okoye,Okoye
Peggy Carter,Peggy Carter
Pepper Potts,Pepper Potts
Pepper Potts / Rescue,Pepper Potts
Peter Parker,Peter Parker / Spider-Man 
Peter Parker / Spider-Man,Peter Parker / Spider-Man
Peter Quill / Star-Lord,Star Lord
Peter Quill / Star Lord,Star Lord
Peter Quill,Star Lord
Pietro Maximoff,Quicksilver
Pietro Maximoff / Quicksilver,Quicksilver
Prince T'Challa / Black Panther,Black Widow
Princess Shuri,Shuri
Princess Shuri / Black Panther,Shuri
Quentin Beck / Mysterio,Mysterio
'Riri Williams / Ironheart',Ironheart
Rocket,Rocket
Ronan,Ronan
Sam Wilson / Falcon,Falcon
Scott Lang / Ant-Man,Scott Lang
"Sgt. James ""Bucky"" Barnes",Bucky
Sharon Carter,Sharon Carter
Steve Rogers,Steve Rogers
Steve Rogers / Captain America,Steve Rogers
Steve Rogers / Captain America / Hydra Stomper,Steve Rogers
Steve Rogers / Nomad,Steve Rogers
Talos,Talos
"Talos / ""Nick Fury""",Talos
Taneleer Tivan / The Collector,The Collector
Thanos,Thanos
The Ancient One,The Ancient One
The Collector,The Collector
The Grandmaster,The Grandmaster
Thor,Thor
Thor Odinson,Thor
Tony Stark / Iron Man,Tony Stark / Iron Man
"Trevor Slattery / ""The Mandarin""",Mandarin
Ultron,Ultron
King Valkyrie,Valkyrie
Valkyrie,Valkyrie
Vision,Vision
Wanda Maximoff,Scarlett Witch
Wanda Maximoff / Scarlet Witch,Scarlett Witch
Wanda Maximoff / The Scarlet Witch,Scarlett Witch
Wong,Wong
Yondu Udonta,Yondu
The Stonekeeper,Red Skull
Zuri,Shuri